isHoliday_,pickup_weekday_,pickup_dayofyear_,night_trip_,rush_hour_,pickup_hour_,row_id_median,row_id_mean,row_id_count,start_lng_median,start_lng_mean,start_lng_count,start_lat_median,start_lat_mean,start_lat_count,end_lng_median,end_lng_mean,end_lng_count,end_lat_median,end_lat_mean,end_lat_count,start_timestamp_median,start_timestamp_mean,start_timestamp_count,duration_median,duration_mean,duration_count,pickup_weekofyear_median,pickup_weekofyear_mean,pickup_weekofyear_count,pickup_minute_median,pickup_minute_mean,pickup_minute_count,weekday_median,weekday_mean,weekday_count,log_trip_duration_median,log_trip_duration_mean,log_trip_duration_count,trip_distance_median,trip_distance_mean,trip_distance_count,trip_direction_median,trip_direction_mean,trip_direction_count,center_latitude_median,center_latitude_mean,center_latitude_count,center_longitude_median,center_longitude_mean,center_longitude_count,speed_median,speed_mean,speed_count,pace_median,pace_mean,pace_count
0,0,5,FALSE,FALSE,7,586479,589150.6246,1625,-73.979881,-73.97102371,1625,40.756187,40.75313971,1625,-73.9776,-73.97320565,1625,40.757305,40.75482123,1625,1420471946,1420471891,1625,569,777.4129231,1625,2,2,1625,32,31.04369231,1625,TRUE,TRUE,1625,6.345636361,6.36318463,1625,2.139000559,3.562394528,1625,9.445758317,-14.96416547,1625,40.7559165,40.75398047,1625,-73.978947,-73.97211468,1625,0.004126135,0.004395048,1625,242.3575805,inf,1625
0,0,5,FALSE,FALSE,8,541867,547593.9844,1926,-73.978493,-73.97197856,1926,40.7570685,40.75492813,1926,-73.979317,-73.97699734,1926,40.7558995,40.752226,1926,1420475411,1420475401,1926,649,788.2705088,1926,2,2,1926,30,29.51713396,1926,TRUE,TRUE,1926,6.476972363,6.42252109,1926,1.940170406,3.032713204,1926,-28.1881979,-30.96863494,1926,40.75629725,40.75357706,1926,-73.97920625,-73.97448795,1926,0.003337087,0.003658945,1926,299.662672,inf,1926
0,0,5,FALSE,FALSE,9,643236,584263.0927,1715,-73.980782,-73.9728296,1715,40.756321,40.75365737,1715,-73.98082,-73.97884649,1715,40.754795,40.75178961,1715,1420478833,1420478911,1715,611,751.8623907,1715,2,2,1715,27,28.01924198,1715,TRUE,TRUE,1715,6.416732283,6.398033173,1715,1.850619932,3.004077059,1715,-17.84804003,-26.42420443,1715,40.755043,40.75272349,1715,-73.9802095,-73.97583804,1715,0.003350924,0.003756387,1715,298.4251652,inf,1715
0,0,5,FALSE,FALSE,20,500024,508068.7596,1901,-73.981628,-73.97193765,1901,40.754459,40.74997817,1901,-73.979507,-73.97411618,1901,40.752399,40.75186256,1901,1420518545,1420518565,1901,501,615.9921094,1901,2,2,1901,29,28.93424513,1901,TRUE,TRUE,1901,6.21860012,6.202360249,1901,2.07831264,3.432732017,1901,3.774421414,-18.57904652,1901,40.7529965,40.75092036,1901,-73.9794315,-73.97302692,1901,0.004510104,0.005020052,1901,221.7243703,inf,1901
0,0,5,FALSE,FALSE,21,416349,443331.6377,1761,-73.98217,-73.96977252,1761,40.753159,40.74694904,1761,-73.980026,-73.97317209,1761,40.75309,40.75036983,1761,1420522107,1420522138,1761,544,665.9222033,1761,2,2,1761,28,28.47245883,1761,TRUE,TRUE,1761,6.300785795,6.27764756,1761,2.481095805,3.895200814,1761,7.477825286,-12.81790845,1761,40.7512875,40.74865943,1761,-73.9802625,-73.9714723,1761,0.004764687,0.005274693,1761,209.8773824,inf,1761
0,0,5,FALSE,FALSE,22,664525,579852.0695,1395,-73.982368,-73.97007263,1395,40.752499,40.74660545,1395,-73.978561,-73.97272634,1395,40.751591,40.74963716,1395,1420525709,1420525752,1395,554,661.9799283,1395,2,2,1395,28,28.7218638,1395,TRUE,TRUE,1395,6.318968114,6.267345463,1395,2.563166178,4.031193746,1395,12.59168807,-9.752179759,1395,40.751043,40.74812131,1395,-73.979702,-73.97139948,1395,0.00497685,0.00543964,1395,200.9303193,inf,1395
0,0,5,FALSE,FALSE,23,474636,492679.3199,1113,-73.981499,-73.96466759,1113,40.753765,40.74638743,1113,-73.977737,-73.9684084,1113,40.752525,40.75098484,1113,1420529250,1420529301,1113,534,675.589398,1113,2,2,1113,27,27.86792453,1113,TRUE,TRUE,1113,6.282266747,6.260081042,1113,2.568873756,4.391408349,1113,12.46468408,-6.592315262,1113,40.7505455,40.74868613,1113,-73.97784,-73.96653799,1113,0.005315844,0.005813746,1113,188.116886,inf,1113
0,0,5,FALSE,TRUE,10,557704,567262.8026,1434,-73.978157,-73.96906897,1434,40.7591115,40.75567453,1434,-73.9797665,-73.97696235,1434,40.756794,40.75411027,1434,1420482624,1420482605,1434,586.5,711.5153417,1434,2,2,1434,30,29.60390516,1434,TRUE,TRUE,1434,6.375875884,6.335052555,1434,1.902256162,3.215494526,1434,-35.35842357,-34.16994298,1434,40.75719925,40.7548924,1434,-73.97838025,-73.97301566,1434,0.003673532,0.004092883,1434,272.2175566,inf,1434
0,0,5,FALSE,TRUE,11,600182,629249.1359,1413,-73.978485,-73.97154613,1413,40.75872,40.75511936,1413,-73.978714,-73.97410185,1413,40.757778,40.75483284,1413,1420486164,1420486174,1413,545,676.2618542,1413,2,2,1413,29,29.07855626,1413,TRUE,TRUE,1413,6.302618976,6.282607698,1413,1.730236914,2.913663536,1413,-3.142965398,-20.32742495,1413,40.75783,40.7549761,1413,-73.9778215,-73.97282399,1413,0.003536706,0.003941122,1413,282.7489387,inf,1413
0,0,5,FALSE,TRUE,12,583174,541342.3439,1393,-73.978455,-73.97112873,1393,40.758385,40.75462779,1393,-73.977562,-73.97229011,1393,40.757118,40.75408827,1393,1420489813,1420489814,1393,559,702.1629576,1393,2,2,1393,30,29.74156497,1393,TRUE,TRUE,1393,6.327936784,6.304374551,1393,1.858254987,3.154062656,1393,-0.072124116,-22.68141776,1393,40.7572,40.75435803,1393,-73.977043,-73.97170942,1393,0.003696671,0.004039517,1393,270.5136446,inf,1393
